Lattice Size (NxN),Total Steps,Steps Used in Analysis,Burnin Steps,Interaction Strength,Applied Mag Field,Spin Prop,Starting Anneal Temp,Starting Anneal Field,Number of Temps
110,170000,120000,5000,1.0,0.0,0.1,20.0,1.0,21

Temperature,K,Spatial Spin Correlation
2.2449999999999997,20,-0.000110717859674
2.2449999999999997,21,-0.000159711856048
2.2449999999999997,22,-0.000141873299124
2.2449999999999997,23,-0.000160345993311
2.2449999999999997,24,-0.000112771912983
2.2449999999999997,25,-0.000149055592909
2.2449999999999997,26,-0.000158429795929
2.2449999999999997,27,-0.00020575573559
2.2449999999999997,28,-0.000187710394776
2.2449999999999997,29,-0.000188730528634
2.2449999999999997,30,-0.000190963794647
2.2449999999999997,31,-0.000220988815498
2.2449999999999997,32,-0.00019252156662
2.2449999999999997,33,-0.00019587146564
2.2449999999999997,34,-0.000173373378391
2.2449999999999997,35,-0.000220933673127
2.2449999999999997,36,-0.000223635649292
2.2449999999999997,37,-0.000243445545969
2.2449999999999997,38,-0.000224393856889
2.2449999999999997,39,-0.000269279746646
2.2449999999999997,40,-0.000277454603103
2.2449999999999997,41,-0.000327882301116
2.2449999999999997,42,-0.000337973354956
2.2449999999999997,43,-0.000333134611926
2.2449999999999997,44,-0.00029545858714
2.2449999999999997,45,-0.000326103959661
2.2449999999999997,46,-0.000368660084255
2.2449999999999997,47,-0.000363904054781
2.2449999999999997,48,-0.000402613999019
2.2449999999999997,49,-0.000399512240666
2.2449999999999997,50,-0.000387394704703
2.2449999999999997,51,-0.000434968785032
2.2449999999999997,52,-0.00047064589888
2.2449999999999997,53,-0.00050936962871
2.2449999999999997,54,-0.000552808031236
2.2499999999999996,1,0.00188282897907
2.2499999999999996,2,0.00111368940684
2.2499999999999996,3,0.000753899223558
2.2499999999999996,4,0.000512017214446
2.2499999999999996,5,0.000369432829386
2.2499999999999996,6,0.000237435779503
2.2499999999999996,7,7.30563724215e-05
2.2499999999999996,8,3.48978518914e-05
2.2499999999999996,9,-1.88659595493e-05
2.2499999999999996,10,-5.44327886562e-05
2.2499999999999996,11,-6.63573263219e-05
2.2499999999999996,12,-7.39807590723e-05
2.2499999999999996,13,-5.80446139376e-05
2.2499999999999996,14,-0.000123760534229
2.2499999999999996,15,-0.00011954214287
2.2499999999999996,16,-0.000116633382815
2.2499999999999996,17,-0.000132486814394
2.2499999999999996,18,-0.000142963864829
2.2499999999999996,19,-0.000138731687877
2.2499999999999996,20,-9.57206387241e-05
2.2499999999999996,21,-0.00012695879173
2.2499999999999996,22,-0.000128792275556
2.2499999999999996,23,-0.000185795701276
2.2499999999999996,24,-0.000191930290018
2.2499999999999996,25,-0.000207783721596
2.2499999999999996,26,-0.000183989788636
2.2499999999999996,27,-0.000183893289487
2.2499999999999996,28,-0.000204874961541
2.2499999999999996,29,-0.000168191499428
2.2499999999999996,30,-0.000167267864718
2.2499999999999996,31,-0.000156473745652
2.2499999999999996,32,-0.000127813498476
2.2499999999999996,33,-0.00015203478481
2.2499999999999996,34,-0.00014951202135
2.2499999999999996,35,-0.000153592556783
2.2499999999999996,36,-0.000150738939098
2.2499999999999996,37,-0.000168122571464
2.2499999999999996,38,-0.000171541398448
2.2499999999999996,39,-0.000196769033047
2.2499999999999996,40,-0.00016799850113
2.2499999999999996,41,-0.000165200025817
2.2499999999999996,42,-0.000177469203299
2.2499999999999996,43,-0.000235341121358
