Lattice Size (NxN),Total Steps,Steps Used in Analysis,Burnin Steps,Interaction Strength,Applied Mag Field,Spin Prop,Starting Anneal Temp
100,200000,100000,5000,1.0,0.0,0.1,20.0

Temperature,K,Spatial Spin Correlation
2.0999999999999996,45,-7.77050505051e-05
2.0999999999999996,46,-7.03919191919e-05
2.0999999999999996,47,-7.65737373737e-05
2.0999999999999996,48,-6.69575757576e-05
2.0999999999999996,49,-2.76848484848e-05
2.1249999999999996,1,0.000917671111111
2.1249999999999996,2,0.000404640808081
2.1249999999999996,3,0.000143913535354
2.1249999999999996,4,4.82367676768e-05
2.1249999999999996,5,-1.99854545455e-05
2.1249999999999996,6,-2.48743434343e-05
2.1249999999999996,7,-2.82076767677e-05
2.1249999999999996,8,-2.02884848485e-05
2.1249999999999996,9,-2.53995959596e-05
2.1249999999999996,10,-3.76824242424e-05
2.1249999999999996,11,-6.59248484848e-05
2.1249999999999996,12,-6.07733333333e-05
2.1249999999999996,13,-6.27733333333e-05
2.1249999999999996,14,-5.43086868687e-05
2.1249999999999996,15,-5.73591919192e-05
2.1249999999999996,16,-3.91167676768e-05
2.1249999999999996,17,-3.80258585859e-05
2.1249999999999996,18,-3.5035959596e-05
2.1249999999999996,19,-5.20460606061e-05
2.1249999999999996,20,-7.34804040404e-05
2.1249999999999996,21,-6.14804040404e-05
2.1249999999999996,22,-9.41066666667e-05
2.1249999999999996,23,-9.48541414141e-05
2.1249999999999996,24,-0.000102227878788
2.1249999999999996,25,-5.68339393939e-05
2.1249999999999996,26,-5.76218181818e-05
2.1249999999999996,27,-2.9541010101e-05
2.1249999999999996,28,-2.84905050505e-05
2.1249999999999996,29,-6.57228282828e-05
2.1249999999999996,30,-8.26723232323e-05
2.1249999999999996,31,-0.000103157171717
2.1249999999999996,32,-9.55612121212e-05
2.1249999999999996,33,-8.3743030303e-05
2.1249999999999996,34,-0.000118934949495
2.1249999999999996,35,-0.000122712727273
2.1249999999999996,36,-9.73793939394e-05
2.1249999999999996,37,-7.83490909091e-05
2.1249999999999996,38,-7.80864646465e-05
2.1249999999999996,39,-8.94602020202e-05
2.1249999999999996,40,-5.93793939394e-05
2.1249999999999996,41,-6.5035959596e-05
2.1249999999999996,42,-5.35006060606e-05
2.1249999999999996,43,-5.94602020202e-05
2.1249999999999996,44,-3.58238383838e-05
2.1249999999999996,45,-5.04298989899e-05
2.1249999999999996,46,-6.18238383838e-05
2.1249999999999996,47,-7.91975757576e-05
2.1249999999999996,48,-8.51975757576e-05
2.1249999999999996,49,-6.92581818182e-05
